date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-08-11,12.75,14.0,12.0,13.12,11.0568,25360000.0,0.0,1.0
2000-08-14,13.09,13.12,12.0,12.0,10.1129,2566400.0,0.0,1.0
2000-08-15,12.16,12.38,12.0,12.12,10.214,1548800.0,0.0,1.0
2000-08-16,12.06,13.06,12.06,12.38,10.4331,1347200.0,0.0,1.0
2000-08-17,12.25,12.5,11.94,12.0,10.1129,1510400.0,0.0,1.0
2000-08-18,12.53,14.38,12.38,14.31,12.0596,1932800.0,0.0,1.0
2000-08-21,15.06,16.25,13.94,15.19,12.8012,2128000.0,0.0,1.0
2000-08-22,15.38,15.69,13.5,13.5,11.377,1081600.0,0.0,1.0
2000-08-23,13.56,13.75,12.75,13.0,10.9556,572800.0,0.0,1.0
2000-08-24,12.94,13.06,12.06,12.06,10.1635,588800.0,0.0,1.0
2000-08-25,12.56,12.94,12.12,12.88,10.8545,643200.0,0.0,1.0
2000-08-28,13.41,13.55,12.5,13.12,11.0568,620800.0,0.0,1.0
2000-08-29,13.44,13.5,12.62,13.38,11.2759,726400.0,0.0,1.0
2000-08-30,13.34,14.69,13.25,14.19,11.9585,633600.0,0.0,1.0
2000-08-31,15.06,16.5,14.88,16.19,13.644,2793600.0,0.0,1.0
2000-09-01,16.12,16.25,15.0,15.75,13.2732,886400.0,0.0,1.0
2000-09-05,15.81,16.25,15.5,15.56,13.1131,736000.0,0.0,1.0
2000-09-06,16.12,16.25,15.25,15.5,13.0625,656000.0,0.0,1.0
2000-09-07,16.0,16.0,13.38,14.38,12.1186,764800.0,0.0,1.0
2000-09-08,14.27,14.5,13.75,14.0,11.7984,508800.0,0.0,1.0
2000-09-11,13.81,14.0,13.5,13.88,11.6972,1104000.0,0.0,1.0
2000-09-12,13.59,13.81,12.88,13.0,10.9556,1081600.0,0.0,1.0
2000-09-13,12.75,13.12,12.38,12.5,10.5343,329600.0,0.0,1.0
2000-09-14,13.88,13.88,12.5,12.69,10.6944,259200.0,0.0,1.0
2000-09-15,12.56,13.0,12.5,12.56,10.5848,115200.0,0.0,1.0
2000-09-18,13.12,13.25,11.94,12.06,10.1635,595200.0,0.0,1.0
2000-09-19,13.09,13.12,10.75,11.25,9.4808,1536000.0,0.0,1.0
2000-09-20,11.5,11.56,9.75,10.38,8.7477,771200.0,0.0,1.0
2000-09-21,10.31,10.75,10.19,10.62,8.9499,806400.0,0.0,1.0
2000-09-22,9.59,10.81,9.44,10.56,8.8993,268800.0,0.0,1.0
2000-09-25,10.62,10.81,9.38,9.44,7.9555,672000.0,0.0,1.0
2000-09-26,9.88,9.94,9.0,9.25,7.7954,627200.0,0.0,1.0
2000-09-27,9.41,9.44,8.62,9.34,7.8712,534400.0,0.0,1.0
2000-09-28,9.25,10.75,9.12,10.0,8.4274,704000.0,0.0,1.0
2000-09-29,10.09,10.12,8.72,8.88,7.4835,611200.0,0.0,1.0
2000-10-02,9.38,9.41,8.38,8.5,7.1633,217600.0,0.0,1.0
2000-10-03,8.59,8.88,7.75,7.94,6.6914,323200.0,0.0,1.0
2000-10-04,8.0,8.06,6.75,7.12,6.0003,467200.0,0.0,1.0
2000-10-05,6.94,8.12,6.5,6.56,5.5284,483200.0,0.0,1.0
