date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2017-08-03,64.31,64.53,63.24,63.43,41.1666,6185100.0,0.0,1.0
2017-08-04,63.55,64.16,63.52,64.11,41.608,4015500.0,0.0,1.0
2017-08-14,63.53,63.9,63.24,63.41,41.1537,3168900.0,0.0,1.0
2017-08-25,64.59,64.74,64.27,64.54,41.887,2676500.0,0.0,1.0
2017-09-01,66.66,67.3,65.66,67.18,43.6004,7204419.0,0.0,1.0
2017-09-05,67.02,67.17,64.98,64.98,42.1726,10832692.0,0.0,1.0
2017-09-06,65.2,65.33,64.01,64.87,42.1012,9965743.0,0.0,1.0
2017-09-07,64.6,64.95,64.22,64.68,41.9779,6321024.0,0.0,1.0
2017-09-08,64.9,65.2,64.64,64.85,42.0882,8099999.0,0.0,1.0
2017-09-11,65.25,67.16,65.2,66.85,43.3863,11567033.0,0.0,1.0
2017-09-12,68.2,69.25,67.8007,68.52,44.4701,14419059.0,0.0,1.0
2017-09-13,68.9,69.6,68.29,69.5,45.1061,8734377.0,0.0,1.0
2017-09-14,69.6,70.3,69.22,70.02,45.4436,11262962.0,0.0,1.0
2017-09-15,70.26,70.7,69.5,69.86,45.3398,32382148.0,0.0,1.0
2017-09-18,70.0,70.37,69.62,69.77,45.2814,7193103.0,0.0,1.0
2017-09-19,70.02,70.11,69.64,70.05,45.4631,6676368.0,0.0,1.0
2017-09-20,70.28,70.5,69.6601,70.41,45.6967,6639388.0,0.0,1.0
2017-09-21,70.41,70.5,70.1,70.32,45.6383,4450108.0,0.0,1.0
2017-09-22,70.14,70.23,69.68,69.96,45.4047,4013074.0,0.0,1.0
2017-09-25,70.07,70.38,69.21,70.34,45.6513,6366314.0,0.0,1.0
2017-09-26,70.26,70.4757,69.33,69.35,45.0088,5231424.0,0.0,1.0
2017-09-27,69.52,69.52,68.27,68.8,44.6518,6594167.0,0.0,1.0
2017-09-28,68.44,69.07,67.77,69.06,44.8206,7868752.0,0.0,1.0
2017-09-29,69.0,69.41,68.57,69.23,44.9309,5635752.0,0.0,1.0
2017-10-02,69.4,70.42,69.15,70.42,45.7032,5973290.0,0.0,1.0
2017-10-03,70.41,70.62,69.9001,70.36,45.6643,6609275.0,0.0,1.0
2017-10-04,70.58,70.91,70.44,70.45,45.7227,5999176.0,0.0,1.0
2017-10-05,70.82,71.0,70.24,70.97,46.0602,5478167.0,0.0,1.0
2017-10-06,70.8,71.23,70.62,71.22,46.2224,3916285.0,0.0,1.0
2017-10-09,71.2,71.88,71.0,71.68,46.521,5278815.0,0.0,1.0
2017-10-10,71.56,71.75,71.16,71.57,46.4496,4828995.0,0.0,1.0
2017-10-11,71.5,71.63,70.92,71.62,46.482,4969383.0,0.0,1.0
2017-10-12,71.5,71.63,71.21,71.4,46.3392,4464653.0,0.0,1.0
2017-10-13,71.53,71.7,71.15,71.43,46.3587,5135077.0,0.0,1.0
2017-10-16,71.8,71.81,70.81,70.93,46.0342,4264175.0,0.0,1.0
2017-10-17,70.8,70.935,70.53,70.88,46.0018,5580414.0,0.0,1.0
2017-10-18,70.86,70.97,70.56,70.78,45.9369,4755211.0,0.0,1.0
2017-10-19,70.65,71.075,70.29,70.89,46.0083,5846213.0,0.0,1.0
2017-10-20,71.2,71.3901,71.0,71.18,46.1965,7323008.0,0.0,1.0
2017-10-23,71.95,72.1798,71.4,71.55,46.4366,11089734.0,0.0,1.0
2017-10-24,71.84,72.12,71.61,71.86,46.6378,10221914.0,0.0,1.0
2017-10-25,71.86,72.1,70.93,71.12,46.1575,6556254.0,0.0,1.0
2017-10-26,72.33,73.85,72.03,73.05,47.4101,16680416.0,0.0,1.0
2017-10-27,73.0,73.1,72.23,72.54,47.0791,8373245.0,0.0,1.0
2017-10-30,72.32,72.61,71.5199,71.68,46.521,5736786.0,0.0,1.0
2017-10-31,71.91,72.465,71.6,72.31,46.9298,5925916.0,0.0,1.0
2017-11-01,73.11,73.58,72.32,73.32,47.5853,7785670.0,0.0,1.0
2017-11-02,72.02,73.2,71.56,72.04,46.7546,10239822.0,0.0,1.0
2017-11-03,72.09,72.27,70.86,71.16,46.1835,8505147.0,0.0,1.0
2017-11-06,71.4,71.73,70.13,70.24,45.5864,8919535.0,0.0,1.0
2017-11-07,70.89,71.15,70.32,71.14,46.1705,6654903.0,0.0,1.0
2017-11-08,71.31,71.5,70.71,70.81,45.9563,6091437.0,0.0,1.0
2017-11-09,70.5,70.54,70.01,70.23,45.5799,4528620.0,0.0,1.0
2017-11-10,70.23,70.49,69.74,69.97,45.4112,7118712.0,0.0,1.0
2017-11-13,69.44,70.65,69.31,70.46,45.7292,6105426.0,0.0,1.0
2017-11-14,69.8,69.93,68.335,68.57,44.7492,8126127.0,0.38,1.0
2017-11-15,68.22,69.14,67.995,68.97,45.0102,13546227.0,0.0,1.0
2017-11-16,69.36,70.77,69.07,70.68,46.1262,9589996.0,0.0,1.0
2017-11-17,70.65,71.21,70.5,70.74,46.1653,8734674.0,0.0,1.0
2017-11-20,70.66,71.27,70.54,70.85,46.2371,5521435.0,0.0,1.0
2017-11-21,71.4,71.775,71.1,71.26,46.5047,8085686.0,0.0,1.0
2017-11-22,71.35,71.38,70.6,70.6,46.074,6352993.0,0.0,1.0
2017-11-24,70.6,71.39,70.53,71.16,46.4394,2636225.0,0.0,1.0
2017-11-27,71.03,71.05,70.02,70.13,45.7672,6720193.0,0.0,1.0
2017-11-28,70.3,71.2,70.13,71.09,46.3937,8231453.0,0.0,1.0
2017-11-29,71.17,71.93,70.87,71.78,46.844,6437722.0,0.0,1.0
2017-11-30,71.82,72.83,71.4396,71.96,46.9615,8947524.0,0.0,1.0
2017-12-01,72.32,72.61,70.67,71.01,46.3415,7635467.0,0.0,1.0
2017-12-04,71.72,72.9875,71.5,72.13,47.0725,8552310.0,0.0,1.0
2017-12-05,72.94,73.2,71.5,71.54,46.6874,8641962.0,0.0,1.0
2017-12-06,71.66,71.79,70.95,71.08,46.3872,5717782.0,0.0,1.0
2017-12-07,71.0,71.5,70.8499,71.37,46.5765,6160392.0,0.0,1.0
2017-12-08,71.21,71.52,70.32,70.73,46.1588,8511037.0,0.0,1.0
2017-12-11,70.78,71.41,70.68,70.81,46.211,6603957.0,0.0,1.0
2017-12-12,70.91,71.15,70.665,70.79,46.198,9228604.0,0.0,1.0
2017-12-13,70.68,71.05,70.42,70.56,46.0479,9666650.0,0.0,1.0
2017-12-14,70.61,70.93,70.07,70.32,45.8912,7042053.0,0.0,1.0
2017-12-15,70.045,70.44,69.86,70.0,45.6824,14783747.0,0.0,1.0
2017-12-18,70.4,71.69,70.24,71.39,46.5895,6718420.0,0.0,1.0
2017-12-19,71.41,71.745,71.22,71.42,46.6091,5109184.0,0.0,1.0
2017-12-20,71.67,72.06,71.24,71.27,46.5112,5817729.0,0.0,1.0
2017-12-21,71.74,71.8,71.01,71.64,46.7527,7166441.0,0.0,1.0
2017-12-22,71.99,72.35,71.76,72.11,47.0594,4370788.0,0.0,1.0
2017-12-26,72.11,72.17,71.31,71.44,46.6222,3093544.0,0.0,1.0
2017-12-27,71.65,71.75,71.29,71.44,46.6222,4097522.0,0.0,1.0
2017-12-28,71.38,71.63,70.89,71.51,46.6678,4269915.0,0.0,1.0
2017-12-29,71.81,71.85,71.22,71.22,46.4786,4708711.0,0.0,1.0
2018-01-02,71.57,72.19,71.4,71.9,46.9224,7407279.0,0.0,1.0
2018-01-03,72.01,73.14,71.69,73.05,47.6728,7884048.0,0.0,1.0
